"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"119","MN","Capex: -50%, Elec: -50%","Scenario3","Wet Corn Milling and Starch Manufacturing",4.76220938327676,277939.749972396,4.245701207139,5.09644912743735
"120","MN","No Policy","Scenario3","Wet Corn Milling and Starch Manufacturing",17.3375842685254,277939.749972396,4.245701207139,5.09644912743735
"121","CO","Capex: -0%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",2.75327810078545,268602.185344763,3.2164556691952,3.47075961684021
"122","CO","Capex: -100%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",14.8815256163894,268602.185344763,3.2164556691952,3.47075961684021
"123","CO","Capex: -50%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",14.9355282018938,268602.185344763,3.2164556691952,3.47075961684021
"124","CO","Capex: -50%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",2.69927551528111,268602.185344763,3.2164556691952,3.47075961684021
"125","CO","No Policy","Scenario1","Ethyl Alcohol Manufacturing",14.9895307873981,268602.185344763,3.2164556691952,3.47075961684021
"126","CO","Capex: -0%, Elec: -50%","Scenario2","Breweries",-0.627387402717826,252704.31473783,3.2164556691952,3.47075961684021
"127","CO","Capex: -100%, Elec: -0%","Scenario2","Breweries",4.18873197128115,252704.31473783,3.2164556691952,3.47075961684021
"128","CO","Capex: -50%, Elec: -0%","Scenario2","Breweries",5.10046393434158,252704.31473783,3.2164556691952,3.47075961684021
"129","CO","Capex: -50%, Elec: -50%","Scenario2","Breweries",-1.53911936577826,252704.31473783,3.2164556691952,3.47075961684021
"130","CO","No Policy","Scenario2","Breweries",6.01219589740202,252704.31473783,3.2164556691952,3.47075961684021
"131","CO","Capex: -0%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",1.51744191049894,241741.966810286,3.2164556691952,3.47075961684021
"132","CO","Capex: -100%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",12.4328646745425,241741.966810286,3.2164556691952,3.47075961684021
"133","CO","Capex: -50%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",12.4814670014964,241741.966810286,3.2164556691952,3.47075961684021
"134","CO","Capex: -50%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",1.46883958354503,241741.966810286,3.2164556691952,3.47075961684021
"135","CO","No Policy","Scenario3","Ethyl Alcohol Manufacturing",12.5300693284503,241741.966810286,3.2164556691952,3.47075961684021
"136","CO","Capex: -0%, Elec: -50%","Scenario4","Breweries",-1.5194844800294,227433.883264047,3.2164556691952,3.47075961684021
"137","CO","Capex: -100%, Elec: -0%","Scenario4","Breweries",2.81502295656968,227433.883264047,3.2164556691952,3.47075961684021
"138","CO","Capex: -50%, Elec: -0%","Scenario4","Breweries",3.63558172332407,227433.883264047,3.2164556691952,3.47075961684021
"139","CO","Capex: -50%, Elec: -50%","Scenario4","Breweries",-2.34004324678379,227433.883264047,3.2164556691952,3.47075961684021
"140","CO","No Policy","Scenario4","Breweries",4.45614049007846,227433.883264047,3.2164556691952,3.47075961684021
"141","IL","Capex: -0%, Elec: -50%","Scenario1","Animal (except Poultry) Slaughtering",3.68806927522356,188713.255002776,2.94622214222868,4.60646927226498
