"","facility_id","tech_scenario","clean_grid_co2e_emissions_mt","onsite_facility_co2e_emissions_mt","baseline_emissions","is_biogenic","diff_scen_baseline","diff_label"
"241",1000415,"eb_boiler",242775.469424852,0,125745.4,FALSE,117030.069424852,"117,030.07"
"242",1000415,"eb_boiler_ee",174570.314713064,0,125745.4,FALSE,48824.9147130641,"48,824.91"
"243",1000415,"hp_boiler",128752.558871537,0,125745.4,FALSE,3007.15887153649,"3,007.16"
"244",1000415,"hp_boiler_ee",99118.162860624,0,125745.4,FALSE,-26627.2371393761,"-26,627.24"
"245",1000426,"eb_boiler",66105.0233630675,281374.025,616928.305,TRUE,-269449.256636932,"-269,449.26"
"246",1000426,"eb_boiler_ee",42667.796717156,281374.025,616928.305,TRUE,-292886.483282844,"-292,886.48"
"247",1000426,"hp_boiler",47905.4672125662,281374.025,616928.305,TRUE,-287648.812787434,"-287,648.81"
"248",1000426,"hp_boiler_ee",32760.3615041201,281374.025,616928.305,TRUE,-302793.91849588,"-302,793.92"
"249",1000427,"eb_boiler",98990.5646321689,0,51272.1,FALSE,47718.4646321689,"47,718.46"
"250",1000427,"eb_boiler_ee",46174.2393165207,0,51272.1,FALSE,-5097.86068347928,"-5,097.86"
