facility_id,nei_id,match_type,match_score
1009795,7205911,FRS Link,NA
1009795,18906911,FRS Link,NA
1009832,7242711,FRS Link,NA
1010026,6952011,FRS Link,NA
1010155,6925211,FRS Link,NA
1010327,3732411,FRS Link,NA
1010345,12611,FRS Link,NA
1010356,9102311,FRS Link,NA
1010363,6339811,FRS Link,NA
1010538,10822611,FRS Link,NA
1010549,8166211,FRS Link,NA
1010593,949811,FRS Link,NA
1010610,10734111,FRS Link,NA
1010679,16670111,FRS Link,NA
1010743,16614711,FRS Link,NA
1010759,8421411,FRS Link,NA
1010792,9583011,FRS Link,NA
1010825,15648511,FRS Link,NA
1010825,15087511,FRS Link,NA
1010825,9599011,FRS Link,NA
1010877,16858211,FRS Link,NA
1010879,16862611,FRS Link,NA
1010891,6328211,FRS Link,NA
1011051,17052611,FRS Link,NA
1011065,16776211,FRS Link,NA
1011192,5933711,FRS Link,NA
1011252,10693611,FRS Link,NA
1011314,17054211,FRS Link,NA
1011460,16965911,FRS Link,NA
1011462,8189011,FRS Link,NA
1011541,7446911,FRS Link,NA
1011549,21830811,FRS Link,NA
1011582,14741511,FRS Link,NA
1011656,15593111,FRS Link,NA
1011708,13399711,FRS Link,NA
1011729,4943411,FRS Link,NA
1011783,17957911,FRS Link,NA
1011799,16966011,FRS Link,NA
1011834,17735411,FRS Link,NA
1011855,8006211,FRS Link,NA
1011961,2615911,FRS Link,NA
1011974,17737011,FRS Link,NA
1011980,4917411,FRS Link,NA
1012009,562911,FRS Link,NA
1012094,6513011,FRS Link,NA
1012111,4545311,FRS Link,NA
1012181,17989711,FRS Link,NA
1012380,7660011,FRS Link,NA
1012424,6348011,FRS Link,NA
1012516,8053811,FRS Link,NA
1012554,6455111,FRS Link,NA
1012698,17640311,FRS Link,NA
1012789,17954911,FRS Link,NA
1012867,6439311,FRS Link,NA
1012918,17928211,FRS Link,NA
1012930,658811,FRS Link,NA
1012948,14399911,FRS Link,NA
1012987,8215111,FRS Link,NA
1012987,16972411,FRS Link,NA
1013066,5718211,FRS Link,NA
